,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.9994876,0.99754715,0.99768925,0.99340874,0.98240995,0.9910123,0.9833387,0.9763012,0.9715331,0.9473715,0.9774639,0.917785,0.9274916,0.8830094,0.9771594,0.9554038,0.96381694,0.97192264,0.97428524,0.936442
1,0.999449,0.99842036,0.991458,0.9936135,0.98777044,0.9693527,0.9729199,0.9459293,0.9657223,0.9662434,0.96150726,0.9117438,0.8747464,0.9018977,0.9617237,0.94727093,0.8493886,0.9754941,0.9150506,0.80531883
2,0.9993532,0.9982792,0.99725646,0.9817638,0.99056405,0.97496134,0.980061,0.89751923,0.9812073,0.93699694,0.92709166,0.9672997,0.9142335,0.87438387,0.9591318,0.93477494,0.94214576,0.96185195,0.93405783,0.8470699
3,0.99949765,0.99774504,0.99690133,0.99301565,0.9873495,0.98840255,0.9522088,0.98203105,0.9607207,0.94492376,0.9639559,0.9267247,0.91989326,0.9013877,0.96593577,0.8504502,0.9263269,0.88635457,0.8740089,0.9717682
4,0.9995676,0.99831223,0.9947373,0.99096555,0.9882535,0.9910268,0.9756343,0.97682583,0.9619927,0.95413476,0.95948213,0.95728153,0.9726485,0.9494906,0.9693018,0.8276425,0.9539823,0.91573936,0.9568502,0.8201841
5,0.99943644,0.99847084,0.9959254,0.98344696,0.98935497,0.9573569,0.97330445,0.98189765,0.9596894,0.93856555,0.94734037,0.90740633,0.967588,0.892292,0.89965373,0.94764113,0.8073411,0.9531234,0.97144115,0.9720071
6,0.99942493,0.9963634,0.9964948,0.98781955,0.9856056,0.9816434,0.97903305,0.969172,0.9384643,0.9690461,0.959527,0.95934194,0.94558936,0.9416705,0.94830006,0.93238014,0.9349911,0.96072644,0.84871864,0.97557783
7,0.9994544,0.99610406,0.9969602,0.99402267,0.9852627,0.98491234,0.980454,0.9696902,0.97248703,0.9494443,0.9643154,0.9212528,0.95164883,0.960534,0.9077301,0.9511946,0.9495313,0.965339,0.9248249,0.9339973
8,0.9993511,0.9987219,0.99701166,0.99204576,0.99050695,0.981669,0.9783691,0.9554542,0.95662284,0.95696133,0.97465795,0.95034957,0.96127987,0.9664265,0.9453733,0.96319,0.93232006,0.858593,0.91798824,0.95468444
9,0.99950266,0.9983672,0.9961074,0.99483144,0.98432195,0.9880307,0.97025204,0.9476589,0.9505761,0.96434164,0.9432304,0.9686649,0.94424236,0.9043456,0.9372023,0.96324706,0.86915994,0.95796704,0.971707,0.9002188
10,0.9995805,0.99629265,0.99670553,0.9930213,0.99041224,0.96511364,0.9870424,0.9677573,0.9373586,0.9705903,0.955504,0.93875486,0.9605962,0.921841,0.9620589,0.96509117,0.9660675,0.94130665,0.9696311,0.9599265
11,0.99931914,0.99817806,0.988909,0.99207944,0.98639745,0.9891408,0.979597,0.9787039,0.9730699,0.97158223,0.9275814,0.91885185,0.9454124,0.969603,0.9376169,0.95404994,0.9084686,0.96944743,0.97118145,0.8836595
12,0.9995369,0.9984887,0.9972496,0.9959992,0.98689306,0.95931643,0.9803952,0.9667951,0.949929,0.95389193,0.91032314,0.9622705,0.9337215,0.901354,0.95562935,0.95935875,0.8935911,0.96274865,0.9631676,0.9771856
13,0.9994685,0.9981072,0.9972234,0.9868822,0.9799415,0.97113425,0.977481,0.9752027,0.9726358,0.9429595,0.95194477,0.9498618,0.9434201,0.91070503,0.84886116,0.92412144,0.9448653,0.844964,0.9736062,0.96010935
14,0.9993411,0.99780524,0.99561405,0.983961,0.9920672,0.96863437,0.9670642,0.98067373,0.95492774,0.96761084,0.9504215,0.9306614,0.95282674,0.91766894,0.9558109,0.95178133,0.9500913,0.96896183,0.9474721,0.92130077
15,0.9995247,0.9980495,0.99595374,0.9949895,0.98773175,0.97501916,0.9826725,0.959479,0.89868706,0.9572943,0.9570947,0.91841197,0.905146,0.91890234,0.9377138,0.8329995,0.9418255,0.94675666,0.9570405,0.9375104
16,0.99955803,0.99704075,0.9887793,0.99366856,0.9918728,0.9820022,0.97014064,0.97588253,0.9822697,0.9641404,0.94154745,0.936162,0.9413951,0.93530613,0.8901689,0.88051,0.9580416,0.9644589,0.9564083,0.8918322
17,0.99936724,0.9954955,0.9890426,0.99455214,0.9893466,0.98990995,0.96921664,0.97247946,0.96675086,0.9492644,0.9570395,0.96351075,0.9631142,0.9160515,0.9729433,0.9596888,0.9456878,0.92334247,0.9600293,0.97106093
18,0.99953663,0.9924341,0.9797518,0.99119145,0.9828768,0.98806685,0.9796119,0.9660996,0.9561202,0.93259954,0.949721,0.96401614,0.9556603,0.9564408,0.973923,0.9473258,0.9688282,0.97309655,0.8537447,0.97731525
19,0.9994968,0.9981135,0.99558157,0.99163866,0.9865777,0.97914726,0.9648658,0.9741306,0.97598046,0.9585961,0.9566235,0.9206093,0.93090373,0.95931774,0.96264094,0.93588614,0.9492083,0.8675307,0.96712524,0.9643386
