,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.9999998,1.0,0.999979,0.9989915,0.98746777,0.9885862,0.9698764,0.9341573,0.96298325,0.9467389,0.9615454,0.95582914,0.96046025,0.9563523,0.95702803,0.9202297,0.93864423,0.9507773,0.9304406,0.9583144
1,0.99999994,1.0,0.9999997,0.9981083,0.99986136,0.98703647,0.97162277,0.97400427,0.9419261,0.9323929,0.93867946,0.975138,0.9484882,0.9515402,0.92445546,0.958568,0.92349,0.9151486,0.9529709,0.9570366
2,1.0000001,1.0000001,0.9999979,0.9991185,0.98633415,0.9804751,0.982258,0.9549066,0.9570887,0.95129216,0.9663862,0.9600732,0.97738904,0.9406164,0.96010536,0.95560414,0.93011284,0.9024364,0.9649959,0.9517609
3,1.0,1.0,1.0,0.99999607,0.99410486,0.9996465,0.97010624,0.95226824,0.96400833,0.973071,0.953824,0.9519038,0.9626296,0.93540484,0.9456529,0.9588854,0.9191472,0.94924897,0.8925723,0.94695586
4,1.0,0.99999994,0.9998911,0.99954253,0.979194,0.9904675,0.9803549,0.9817716,0.9529735,0.96584177,0.97309554,0.95156103,0.95418745,0.9696061,0.9504333,0.9473202,0.94733953,0.9498984,0.9596848,0.9261216
5,1.0,1.0,0.9999998,0.98315763,0.97682035,0.99707574,0.9816643,0.96399367,0.9672756,0.93320197,0.94799656,0.9381276,0.95947564,0.95547163,0.9552499,0.9602578,0.9577241,0.92283654,0.91706395,0.9273653
6,1.0,1.0000001,0.99997395,0.99999356,0.99274397,0.96571684,0.98718435,0.9770281,0.9849738,0.93881196,0.97786695,0.9658882,0.9620784,0.9549483,0.9383437,0.9270344,0.92420846,0.94327724,0.9394518,0.9452583
7,1.0000001,0.99999976,0.99993587,0.9989077,0.9995068,0.9730695,0.976704,0.98075104,0.938135,0.95310384,0.9479751,0.9243545,0.9432166,0.9259628,0.9460584,0.9387313,0.939505,0.94380784,0.90888685,0.9085331
8,0.9999999,0.99999994,0.99999994,0.9999999,0.98686755,0.9748511,0.9862496,0.957054,0.94287044,0.9751527,0.9676581,0.9591846,0.97568595,0.94821584,0.95153713,0.94122237,0.9256017,0.933024,0.9368774,0.90141284
9,0.9999999,0.99999994,1.0,0.99998814,0.9985391,0.9410898,0.965594,0.9666247,0.9762821,0.966778,0.9217398,0.97136503,0.9298388,0.9589168,0.95815146,0.95023125,0.91639894,0.957425,0.9223375,0.9576458
10,1.0,1.0,0.9998534,0.99993587,0.9906613,0.9653533,0.9575289,0.96699864,0.9656391,0.9567439,0.9677328,0.969508,0.9549394,0.9601358,0.9355642,0.9410994,0.9486721,0.9190035,0.95254296,0.9367712
11,0.9999999,1.0000002,1.0,0.99810696,0.98312825,0.98243266,0.96955353,0.9402858,0.97088027,0.9456663,0.94553626,0.9682073,0.8896037,0.9583465,0.946006,0.92826134,0.92714137,0.93900883,0.92935956,0.9402903
12,0.99999994,0.9999999,1.0,0.99995637,0.988866,0.9841562,0.98592025,0.95061815,0.9557475,0.94635534,0.94787693,0.94120175,0.9313554,0.94914675,0.9378204,0.9325131,0.9499238,0.9419048,0.94630766,0.91998595
